2023-05-01	SBO_0042_C01_216_r7	9.10139	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_r7	9.10139	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_q4	9.09444	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_q4	9.09444	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_v3	9.09083	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_v3	9.09083	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_v2	9.07056	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_v2	9.07056	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_v1	9.1225	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_v1	9.1225	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_u6	9.075	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_u6	9.075	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
2023-05-01	SBO_0042_C01_216_u5	9.07222	SBO_0042	2305H33916	2023-05-01 10:30:00.000000	2023-05-01 12:37:00.000000
2023-05-01	SBO_0042_C01_216_u5	9.07222	SBO_0042	2305H33916	2023-05-01 07:11:00.000000	2023-05-01 10:30:00.000000
